gene_id/transcript_id	SJINF053_211_withinKeepPairs
FAM214B-001	44.05
FAM214B-002	69.79
FAM214B-014	0.0
FAM214B-015	0.0
FAM214B-009	0.0
FAM214B-013	132.63
FAM214B-010	13.55
COPZ2-006	0.0
COPZ2-002	0.0
COPZ2-008	0.0
COPZ2-005	0.0
COPZ2-003	0.0
COPZ2-010	0.0
COPZ2-009	0.0
COPZ2-007	0.0
COPZ2-004	0.0
COPZ2-001	7.0
PRKAR2B-001	306.0
PRKAR2B-003	0.0
PRKAR2B-004	0.0
MSL3-009	13.16
MSL3-001	916.53
MSL3-201	0.0
MSL3-006	0.0
MSL3-004	73.31
MSL3-010	836.43
MSL3-202	12.6
MSL3-003	0.0
MSL3-008	12.37
MSL3-012	30.59
MSL3-002	72.52
MSL3-005	0.0
MSL3-013	0.0
MSL3-014	5.23
MSL3-015	18.33
MSL3-016	0.0
MSL3-011	286.93
CREBBP-001	3699.77
CREBBP-003	8078.26
CREBBP-008	0.0
CREBBP-013	70.02
CREBBP-006	0.0
CREBBP-005	61.4
CREBBP-009	18.58
CREBBP-011	41.42
CREBBP-007	33.95
CREBBP-012	35.78
CREBBP-010	0.0
CREBBP-004	148.81
BZRAP1-001	1791.31
BZRAP1-002	1530.35
BZRAP1-011	5.91
BZRAP1-008	6.57
BZRAP1-003	111.76
BZRAP1-010	93.58
BZRAP1-004	131.99
BZRAP1-005	229.27
BZRAP1-009	54.58
BZRAP1-006	39.87
BZRAP1-007	7.77
MPO-001	462.74
MPO-005	0.0
MPO-004	1.94
MPO-002	0.0
MPO-003	11.32
PON1-001	0.0
PON1-003	0.0
PON1-004	0.0
PON1-006	0.0
GCFC2-001	486.04
GCFC2-004	17.42
GCFC2-008	0.0
GCFC2-007	0.0
GCFC2-006	0.0
GCFC2-002	0.0
GCFC2-003	11.03
GCFC2-005	150.09
GCFC2-009	4.63
GCFC2-010	6.79
GCFC2-201	0.0
WDR54-001	101.17
WDR54-005	9.47
WDR54-009	0.0
WDR54-004	0.0
WDR54-002	30.49
WDR54-003	19.86
WDR54-012	7.56
WDR54-007	0.0
WDR54-006	7.39
WDR54-010	0.0
WDR54-013	9.23
WDR54-011	7.85
WDR54-008	0.0
CROT-001	238.16
CROT-003	13.68
CROT-002	0.0
CROT-004	0.0
CROT-005	11.0
CROT-006	13.52
CROT-007	8.64
ABCB4-002	50.11
ABCB4-201	0.0
ABCB4-001	249.85
ABCB4-003	2.03
ABCB4-008	3.14
ABCB4-009	93.54
ABCB4-006	7.13
ABCB4-007	0.0
ABCB4-005	8.33
ABCB4-004	5.87
KMT2E-201	4377.27
KMT2E-001	4302.15
KMT2E-004	1221.47
KMT2E-202	5850.92
KMT2E-014	40.06
KMT2E-007	2.48
KMT2E-012	39.26
KMT2E-003	52.76
KMT2E-018	70.43
KMT2E-009	0.0
KMT2E-016	60.98
KMT2E-011	2.89
KMT2E-010	31.6
KMT2E-013	6.04
KMT2E-008	216.55
KMT2E-015	31.09
KMT2E-203	0.0
RHBDD2-001	545.52
RHBDD2-201	0.0
RHBDD2-002	0.0
RHBDD2-006	646.51
RHBDD2-003	0.0
RHBDD2-009	58.85
RHBDD2-005	9.19
RHBDD2-004	36.93
RHBDD2-008	0.0
SOX8-001	9.23
SOX8-002	9.77
IBTK-001	1303.11
IBTK-004	0.0
IBTK-008	168.77
IBTK-003	0.0
IBTK-005	1343.28
IBTK-006	2.51
IBTK-002	130.09
IBTK-010	75.33
IBTK-007	403.58
IBTK-201	170.32
ZNF195-006	329.38
ZNF195-016	0.0
ZNF195-201	0.0
ZNF195-002	170.91
ZNF195-001	433.54
ZNF195-015	3.36
ZNF195-003	89.47
ZNF195-017	30.38
ZNF195-023	0.0
ZNF195-026	8.66
ZNF195-007	1.64
ZNF195-009	0.0
ZNF195-024	8.22
ZNF195-021	83.77
ZNF195-004	369.02
ZNF195-012	0.0
ZNF195-018	3.83
ZNF195-005	8.13
ZNF195-008	34.81
ZNF195-027	0.0
ZNF195-011	27.81
ZNF195-020	9.58
ZNF195-013	0.0
ZNF195-025	0.0
ZNF195-022	1.65
ZNF195-010	1.82
ZNF195-019	0.0
ZNF195-014	0.0
ZNF195-202	0.0
ZNF195-203	0.0
MYCBP2-201	0.0
MYCBP2-002	5291.43
MYCBP2-007	4.02
MYCBP2-006	6.31
MYCBP2-009	0.0
MYCBP2-003	551.9
MYCBP2-008	187.42
MYCBP2-004	5.67
MYCBP2-010	55.99
MYCBP2-005	63.97
MYCBP2-001	16432.17
MYCBP2-202	0.0
FBXL3-001	2498.62
FBXL3-002	92.02
FBXL3-005	16.16
FBXL3-003	0.0
FBXL3-006	111.72
FBXL3-004	13.94
ITGAL-001	10716.61
ITGAL-002	5313.95
ITGAL-004	5.54
ITGAL-021	38.5
ITGAL-010	16.56
ITGAL-003	42.45
ITGAL-020	467.1
ITGAL-007	0.0
ITGAL-023	388.94
ITGAL-017	11.04
ITGAL-012	0.0
ITGAL-011	15.02
ITGAL-015	19.94
ITGAL-022	312.2
ITGAL-016	1.89
ITGAL-009	0.0
ITGAL-018	20.09
ITGAL-005	12.03
ITGAL-008	11.07
PDK2-003	303.57
PDK2-018	1.13
PDK2-001	154.07
PDK2-009	178.88
PDK2-012	0.0
PDK2-011	43.86
PDK2-017	4.11
PDK2-020	0.0
PDK2-008	0.0
PDK2-010	39.98
PDK2-016	0.0
PDK2-013	0.0
PDK2-019	17.12
PDK2-014	0.0
PDK2-015	19.36
PDK2-201	57.55
ITGA3-020	1.46
ITGA3-001	7.64
ITGA3-018	0.0
ITGA3-002	0.0
ITGA3-011	0.0
ITGA3-013	2.2
ITGA3-003	0.0
ITGA3-006	0.0
ITGA3-014	0.0
ITGA3-015	0.0
ITGA3-009	0.13
ITGA3-012	0.0
ITGA3-010	0.0
ITGA3-017	0.57
ITGA3-016	0.0
ITGA3-019	2.0
ZFX-002	345.19
ZFX-003	0.0
ZFX-001	1470.71
ZFX-201	342.96
ZFX-008	0.0
ZFX-007	8.55
ZFX-004	0.0
ZFX-005	8.37
ZFX-006	2.23
ZFX-009	7.0
ZFX-202	0.0
LAMP2-001	313.98
LAMP2-002	3850.95
LAMP2-004	206.11
LAMP2-003	155.96
ITGA2B-001	47.97
ITGA2B-011	0.0
ITGA2B-012	0.0
ITGA2B-009	0.0
ITGA2B-007	1.47
ITGA2B-008	0.0
ITGA2B-004	4.98
ITGA2B-006	0.81
ITGA2B-003	8.78
ITGA2B-005	0.0
ASB4-002	0.0
ASB4-001	0.0
ASB4-003	0.0
GDE1-001	556.01
GDE1-005	113.93
GDE1-002	656.94
GDE1-003	3.84
GDE1-004	10.29
C19orf60-001	48.88
C19orf60-002	9.69
C19orf60-007	13.99
C19orf60-005	1.19
C19orf60-008	195.72
C19orf60-004	14.27
C19orf60-003	190.27
C19orf60-006	0.0
CRLF1-001	0.0
CRLF1-002	0.0
CRLF1-005	58.23
CRLF1-004	1.0
CRLF1-003	0.0
OSBPL7-001	1322.29
OSBPL7-201	210.16
OSBPL7-010	0.0
OSBPL7-004	110.3
OSBPL7-002	67.08
OSBPL7-006	56.96
OSBPL7-009	3.87
OSBPL7-005	140.95
OSBPL7-008	117.73
OSBPL7-007	18.66
OSBPL7-202	0.0
TMEM98-009	0.0
TMEM98-002	0.0
TMEM98-003	0.0
TMEM98-004	0.0
TMEM98-005	0.0
TMEM98-001	0.0
TMEM98-007	0.0
TMEM98-008	0.0
TMEM98-006	0.0
YBX2-001	0.0
YBX2-005	0.0
YBX2-006	0.0
YBX2-004	0.0
YBX2-007	0.0
YBX2-003	0.0
YBX2-002	1.0
KRT33A-001	0.0
MAP3K14-001	1994.04
MAP3K14-201	23.42
